2023-04-01 11:39:09.077 | INFO  | RMI TCP Connection(2)-192.168.1.4raceId | 24368 | RMI TCP Connection(2)-192.168.1.4 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:547) : Completed initialization in 1 ms
2023-04-01 11:39:42.628 | INFO  | mainraceId | 23888 | main | org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:55) : Starting WebApplication using Java 17.0.2 on MS-RIWSCBNXBKLH with PID 23888 (D:\Projects\ideaProjects\examples\spring-boot\spring-boot-web\build\classes\java\main started by Administrator in D:\Projects\ideaProjects\examples)
2023-04-01 11:39:42.632 | INFO  | mainraceId | 23888 | main | org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:631) : No active profile set, falling back to 1 default profile: "default"
2023-04-01 11:39:43.017 | INFO  | mainraceId | 23888 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:108) : Tomcat initialized with port(s): 8080 (http)
2023-04-01 11:39:43.024 | INFO  | mainraceId | 23888 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing ProtocolHandler ["http-nio-8080"]
2023-04-01 11:39:43.024 | INFO  | mainraceId | 23888 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting service [Tomcat]
2023-04-01 11:39:43.024 | INFO  | mainraceId | 23888 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting Servlet engine: [Apache Tomcat/9.0.73]
2023-04-01 11:39:43.060 | INFO  | mainraceId | 23888 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing Spring embedded WebApplicationContext
2023-04-01 11:39:43.060 | INFO  | mainraceId | 23888 | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext(ServletWebServerApplicationContext.java:292) : Root WebApplicationContext: initialization completed in 413 ms
2023-04-01 11:39:43.280 | INFO  | mainraceId | 23888 | main | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver.<init>(EndpointLinksResolver.java:58) : Exposing 13 endpoint(s) beneath base path '/actuator'
2023-04-01 11:39:43.291 | INFO  | mainraceId | 23888 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting ProtocolHandler ["http-nio-8080"]
2023-04-01 11:39:43.299 | INFO  | mainraceId | 23888 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start(TomcatWebServer.java:220) : Tomcat started on port(s): 8080 (http) with context path ''
2023-04-01 11:39:43.305 | INFO  | mainraceId | 23888 | main | org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:61) : Started WebApplication in 0.825 seconds (JVM running for 1.147)
2023-04-01 11:39:43.580 | INFO  | RMI TCP Connection(3)-192.168.1.4raceId | 23888 | RMI TCP Connection(3)-192.168.1.4 | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-01 11:39:43.580 | INFO  | RMI TCP Connection(3)-192.168.1.4raceId | 23888 | RMI TCP Connection(3)-192.168.1.4 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:525) : Initializing Servlet 'dispatcherServlet'
2023-04-01 11:39:43.581 | INFO  | RMI TCP Connection(3)-192.168.1.4raceId | 23888 | RMI TCP Connection(3)-192.168.1.4 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:547) : Completed initialization in 1 ms
2023-04-01 21:21:55.305 | INFO  | mainraceId | 19288 | main | org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:55) : Starting WebApplication using Java 17.0.2 on MS-RIWSCBNXBKLH with PID 19288 (D:\Projects\ideaProjects\examples\spring-boot\spring-boot-web\build\classes\java\main started by Administrator in D:\Projects\ideaProjects\examples)
2023-04-01 21:21:55.309 | INFO  | mainraceId | 19288 | main | org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:631) : No active profile set, falling back to 1 default profile: "default"
2023-04-01 21:21:55.708 | INFO  | mainraceId | 19288 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:108) : Tomcat initialized with port(s): 8080 (http)
2023-04-01 21:21:55.715 | INFO  | mainraceId | 19288 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing ProtocolHandler ["http-nio-8080"]
2023-04-01 21:21:55.715 | INFO  | mainraceId | 19288 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting service [Tomcat]
2023-04-01 21:21:55.716 | INFO  | mainraceId | 19288 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting Servlet engine: [Apache Tomcat/9.0.73]
2023-04-01 21:21:55.748 | INFO  | mainraceId | 19288 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing Spring embedded WebApplicationContext
2023-04-01 21:21:55.748 | INFO  | mainraceId | 19288 | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext(ServletWebServerApplicationContext.java:292) : Root WebApplicationContext: initialization completed in 423 ms
2023-04-01 21:21:55.964 | INFO  | mainraceId | 19288 | main | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver.<init>(EndpointLinksResolver.java:58) : Exposing 13 endpoint(s) beneath base path '/actuator'
2023-04-01 21:21:55.975 | INFO  | mainraceId | 19288 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting ProtocolHandler ["http-nio-8080"]
2023-04-01 21:21:55.982 | INFO  | mainraceId | 19288 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start(TomcatWebServer.java:220) : Tomcat started on port(s): 8080 (http) with context path ''
2023-04-01 21:21:55.988 | INFO  | mainraceId | 19288 | main | org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:61) : Started WebApplication in 0.83 seconds (JVM running for 1.221)
2023-04-01 21:21:56.191 | INFO  | RMI TCP Connection(3)-192.168.1.4raceId | 19288 | RMI TCP Connection(3)-192.168.1.4 | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-01 21:21:56.191 | INFO  | RMI TCP Connection(3)-192.168.1.4raceId | 19288 | RMI TCP Connection(3)-192.168.1.4 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:525) : Initializing Servlet 'dispatcherServlet'
2023-04-01 21:21:56.192 | INFO  | RMI TCP Connection(3)-192.168.1.4raceId | 19288 | RMI TCP Connection(3)-192.168.1.4 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:547) : Completed initialization in 1 ms
